
SUBURB,AVG_PRICE_UPTO_50,AVG_PRICE_UPTO_100,AVG_PRICE_OVER_100
Bemowo,2362.57,5391.74,14277.41
Białołęka,2669.43,4747.23,13063.59
Bielany,2902.58,5460.17,10936.17
Mokotów,2529.21,5601.35,12678.30
Praga-Południe,2590.32,4872.92,13474.09
Praga-Północ,2715.15,4460.63,10352.70
Rembertów,,5460.00,6565.00
Targówek,2533.81,5657.36,12957.82
Ursus,2686.15,4824.41,15956.11
Ursynów,2793.06,5515.40,15980.67
Wawer,1777.78,5452.14,16994.50
Wesoła,3050.00,5628.50,21000.00
Wilanów,2543.75,4475.75,16020.80
Wola,2780.62,4910.15,10145.71
Włochy,2714.94,5566.55,9961.30
Śródmieście,2859.55,4687.97,9271.43
Żoliborz,2087.40,4116.67,5000.00
